speaker_reference,text,generated_wav,language
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_0.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_1.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_2.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_3.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," In the context of Romanticism, the geography molded individuals, and over time customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_4.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_5.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_6.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_7.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_8.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_9.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.",Evaluation/Tortoise_num_autoregressive_samples_256_diffusion_iterations_200/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_10.wav,en
