speaker_reference,text,generated_wav,language
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 自从联邦政府介入接管塔斯马尼亚州德文波特的默西医院的资金后，州政府和一些联邦议员批评此举是 11 月联邦大选前的噱头。 ,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_4.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_15.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 羽毛的结构表明它们不是用来飞行的，而是用来调节温度或炫耀的。研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成熟的羽衣，而不是幼崽的羽毛。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_20.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_31.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 要说明社会化的重要性，最常用的方法之一是利用少数不幸儿童的案例。这些儿童由于被忽视、遭遇不幸或遭到故意虐待，在成长过程中没有在成年人的帮助下实现社会化。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_36.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_47.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 例如，北卡罗莱纳州本尼特学校  的学生每年都会设计一个有关他们的州府之行的网站。网站每年都会重新设计，但是老版本会在线保存，用作剪贴簿。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_52.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_63.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 在浪漫主义的背景下，地理塑造了个体，随着时间的推移，与地理相关的习俗和文化出现了，这些习俗文化因为与社会所处的地方和谐相融，要比任意强加的法律好得多。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_68.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," In the context of Romanticism, the geography molded individuals, and over time customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_79.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 还有许多社会和政治影响，例如度量单位的使用、从专制到共和制的转变、民族主义、相信国家不属于唯一的统治者而是属于人民。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_84.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_95.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 大多数修道院都会为没有准备的女性提供裹身衣，但如果你自己带，尤其是颜色鲜艳的，门口的修道士会向你投来抿嘴一笑。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_100.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_111.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 在外围岛屿，可能无法使用信用卡，但可以使用英美货币；请事先与房主联系，确认可接受的付款方式。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_116.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_127.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 向北可轻松抵达浪漫迷人的辛特拉镇；它是拜伦勋爵笔下为人称道的乐土，并因此为外国人所熟知。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_132.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_143.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 很多情况下这和症状疗法很相似。但是，如果我们不仅仅想要一个临时的解决方案的话，那么我们就应该找到问题的根源，并把它彻底根除。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_148.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_159.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 虽然马拉轨道车只是由平行的木板拼成，但在当时，就略显坎坷的道路而言，这些车能让拉车的马跑得更快，拉得更多。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_164.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav," Although wagonways merely consisted of parallel planks of wood, they allowed horses pulling them to achieve greater speeds and pull larger loads than on the slightly more rough roads of the day.",Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_175.wav,en
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, 它的地位在十二世纪下降，主要是因为十字军返回时带的礼物，如丝绸和香料等，比拜占庭市场提供的更有价值。,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_zh-cn_180.wav,zh-cn
Evaluation/References_DAPS/f10_script2_clean_segment_8.wav, Its status declined during the twelfth century mainly due to the fact that Crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.,Evaluation/Mega-TTS2/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_191.wav,en
