,CER,UTMOS,SECS,Language,Speaker Reference Path,Audio Path,Num. Chars,Ground Truth Text,Transcription,Ground Truth Normalized Text,Normalized Transcription
0,2.380952380952381,4.394008159637451,0.6683869361877441,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_0.wav,256," Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November."," Ever since the federal government stepped in to take over funding of the Mercy Hospital in Devonport, Tasmania, the state government and some federal nymphs have criticized this act as a stunt in the prelude to the federal election to be called by November.",ever since the federal government stepped in to take over funding of the mersey hospital in devonport tasmania the state government and some federal mps have criticised this act as a stunt in the prelude to the federal election to be called by november,ever since the federal government stepped in to take over funding of the mercy hospital in devonport tasmania the state government and some federal nymphs have criticized this act as a stunt in the prelude to the federal election to be called by november
1,1.214574898785425,4.3716654777526855,0.6614196300506592,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_1.wav,254," The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down."," The feather structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows a dull plumage and not a chick's down.",the feathers structure suggests that they were not used in flight but rather for temperature regulation or display the researchers suggested that even though this is the tail of a young dinosaur the sample shows adult plumage and not a chicks down,the feather structure suggests that they were not used in flight but rather for temperature regulation or display the researchers suggested that even though this is the tail of a young dinosaur the sample shows a dull plumage and not a chicks down
2,0.41841004184100417,4.377179145812988,0.6737678050994873,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_2.wav,245," One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up."," One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or willful abuse, not socialized by adults while they were growing up.",one of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were through neglect misfortune or wilful abuse not socialized by adults while they were growing up,one of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were through neglect misfortune or willful abuse not socialized by adults while they were growing up
3,0.9259259259259258,3.9361658096313477,0.6793354749679565,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_3.wav,221," For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook."," For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook,for example each year students from bennett school in north carolina design a website about their trip to the state capitol each year the website gets remodeled but old versions are kept online to serve as a scrapbook
4,0.0,4.199598789215088,0.6843518018722534,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_4.wav,234," In the context of Romanticism, the geography molded individuals, and over time customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws."," In the context of Romanticism, the geography molded individuals and over time customs and culture related to that geography arose and these being in harmony with the place of the society were better than arbitrarily imposed laws.",in the context of romanticism the geography molded individuals and over time customs and culture related to that geography arose and these being in harmony with the place of the society were better than arbitrarily imposed laws,in the context of romanticism the geography molded individuals and over time customs and culture related to that geography arose and these being in harmony with the place of the society were better than arbitrarily imposed laws
5,0.0,3.824368476867676,0.6351361870765686,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_5.wav,208," There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler."," There are a lot of social and political effects such as the use of metric system, a shift from absolutism to republicanism, nationalism and the belief the country belongs to the people not to one sole ruler.",there are a lot of social and political effects such as the use of metric system a shift from absolutism to republicanism nationalism and the belief the country belongs to the people not to one sole ruler,there are a lot of social and political effects such as the use of metric system a shift from absolutism to republicanism nationalism and the belief the country belongs to the people not to one sole ruler
6,0.0,3.8535056114196777,0.6933244466781616,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_6.wav,191," Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance."," Most of the monasteries do provide wraps for women who come unprepared, but if you bring your own, especially one with bright colors, you'll get a smile from the monk or nun at the entrance.",most of the monasteries do provide wraps for women who come unprepared but if you bring your own especially one with bright colors youll get a smile from the monk or nun at the entrance,most of the monasteries do provide wraps for women who come unprepared but if you bring your own especially one with bright colors youll get a smile from the monk or nun at the entrance
7,0.0,4.288966655731201,0.6607339382171631,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_7.wav,210," On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method."," On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken check with the owners in advance to determine what is an acceptable payment method.",on the outlying islands credit cards will probably not be accepted although british and united states currency may be taken check with the owners in advance to determine what is an acceptable payment method,on the outlying islands credit cards will probably not be accepted although british and united states currency may be taken check with the owners in advance to determine what is an acceptable payment method
8,1.0752688172043012,4.307070732116699,0.674281895160675,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_8.wav,188, To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron., To the north and within easy reach is the romantic and fascinating town of Cintra and which was made famous to foreigners after a glowing account of its splendors recorded by Lord Byron.,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,to the north and within easy reach is the romantic and fascinating town of cintra and which was made famous to foreigners after a glowing account of its splendors recorded by lord byron
9,0.0,4.213351249694824,0.6516821384429932,en,Evaluation/References_DAPS/f10_script2_clean_segment_8.wav,Evaluation/YourTTS_libritts_en/Audios/f10_script2_clean_segment_8.wav/f10_script2_clean_segment_8.wav_en_9.wav,186," This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems, and we should deactivate them."," This is just like symptomatic treatment in many cases. However, if we do not only want a temporary solution, then we should find the root of the problems and we should deactivate them.",this is just like symptomatic treatment in many cases however if we do not only want a temporary solution then we should find the root of the problems and we should deactivate them,this is just like symptomatic treatment in many cases however if we do not only want a temporary solution then we should find the root of the problems and we should deactivate them
